City,Zip,Station,Address,Base,Discount,Lat,Long,Net
Frederick (Downtown),21701,Exxon,"400 S Jefferson St, 21701",4.19,Exxon,39.4083014,-77.4275253,4.16
Frederick (Downtown),21701,Liberty,"1301 N East St, 21701",3.99,-,39.4168512,-77.4049713,3.99
Frederick (Downtown),21701,BP,"503 W 7th St, 21701",4.28,BP,39.4242376,-77.4150016,4.23
Frederick (Downtown),21701,Exxon,"1991 Monocacy Blvd, 21701",4.29,Exxon,39.4479238,-77.3865164,4.26
Frederick (Northwest),21702,Sheetz,"1600 Rosemont Ave, 21702",3.89,Sheetz,39.426862,-77.430936,3.86
Frederick (Northwest),21702,GetGo,"1391 W 7th St, 21702",3.89,-,39.4308121,-77.4204144,3.89
Frederick (Northwest),21702,Royal Farms,"2050 Yellow Springs Rd, 21702",3.89,Royal Farms,39.4407348,-77.4374792,3.79
Frederick (Northwest),21702,Weis Gas-N-Go,"2 Old Camp Rd, 21702",3.89,-,39.422232,-77.466165,3.89
Frederick (Northwest),21702,Rosemont Service Center,"1704 Rosemont Ave, 21702",3.95,-,39.4278438,-77.4321436,3.95
Frederick (Northwest),21702,AAFES,"1425 Porter St, 21702",3.99,-,39.4362989,-77.4239801,3.99
Frederick (Northwest),21702,Sheetz,"23 Thomas Johnson Dr, 21702",3.99,Sheetz,39.4593648,-77.4062931,3.96
Frederick (Northwest),21702,Wawa,"1001 W Patrick St, 21702",4.03,Wawa,39.4161019,-77.4386975,4.03
Frederick (Northwest),21702,7-Eleven,"7729 Sundays Ln, 21702",4.05,7-Eleven,39.4858245,-77.3983281,4.02
Frederick (Northwest),21702,Shell,"1275 W Patrick St, 21702",4.05,Shell,39.4194983,-77.4478184,4.0
Frederick (Northwest),21702,W Express,"Unknown Address, 21702",3.86,-,,,3.86
Frederick (Northwest),21702,Exxon,"1561 Opossumtown Pike, 21702",4.05,Exxon,39.4409168,-77.4107626,4.02
Frederick (Northwest),21702,Exxon,"1380 W Patrick St, 21702",4.15,Exxon,39.4186679,-77.4582166,4.12
Frederick (Southwest),21703,GetGo,"1000 W Patrick St, 21703",3.89,-,39.416091,-77.438647,3.89
Frederick (Southwest),21703,Wawa,"5833 Ballenger Creek Pike, 21703",3.89,Wawa,39.3921775,-77.4382008,3.89
Frederick (Southwest),21703,Giant,"5310 New Design Rd, 21703",3.99,Giant,39.3713461,-77.4261823,3.94
Frederick (Southwest),21703,Exxon,"5870 Ballenger Creek Pike, 21703",3.99,Exxon,39.3932575,-77.4383819,3.96
Frederick (Southwest),21703,Royal Farms,"6730 English Muffin Way, 21703",3.99,Royal Farms,39.3620393,-77.4311677,3.89
Frederick (Southwest),21703,A-1 Mart,"649 Himes Ave, 21703",3.96,-,39.4074431,-77.4470426,3.96
Frederick (Southwest),21703,Carroll Motor Fuels,"1180 W Patrick St, 21703",3.89,-,39.4180675,-77.450524,3.89
Frederick (Ballenger Creek),21704,7-Eleven,"5703 Buckeystown Pike, 21704",3.89,7-Eleven,39.3907132,-77.4095055,3.86
Frederick (Ballenger Creek),21704,Royal Farms,"5831 Buckeystown Pike, 21704",3.89,Royal Farms,39.3944389,-77.4090023,3.79
